Show Name,Show ID,Show Rank,Genre,Sub Genre,Sub Sub Genre,Key Themes,Secondary Themes,Reason
My Vampire System,a2fa57d4cb8267b2645f2b588c39951fbf65093a,1,Fantasy,Low Fantasy,LitRPG & System,Power Progression ; Academy Hierarchy ; Secret Identity ; Found Family ; Bullying Survival,Underdog Story ; Dark Secrets ; Political Intrigue ; Action-Packed ; Moral Dilemma,Military academy with vampire system featuring visible stats and level progression. Quinn's hourly HP depletion and system notifications match LitRPG definition while academy ranking creates institutional conflict.
The Alpha's Bride,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,2,Romantasy,Shapeshifter Romance,Werewolf Romance,Fated Mates ; Pack Hierarchy ; Rejected Mate ; Secret Relationship ; Protective Alpha,Slow Burn ; Class Difference ; Political Intrigue ; Steamy Romance ; Enemies-to-Lovers,Werewolf pack structure with scent-based mate recognition and Alpha/Omega dynamics. Romance develops within pack politics with Damon hiding mate bond from pack matching werewolf romance conventions.
The Duke's Masked Bride,cd532605283eb73524e7a93c4f887f670a980c19,3,Romance,Period Romance,Regency Romance,Contract Marriage ; Abusive Family ; Masked Identity ; Revenge Plot ; Dangerous Reputation,Enemies-to-Lovers ; Dark Romance ; Protective Hero ; Political Intrigue ; Mystery,Historical aristocratic setting with contract marriage between Duke and abused baron's daughter. Social hierarchy and arranged marriage dynamics match period romance conventions despite possible different historical era.
The Royal Accident,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,4,Romance,Contemporary Romance,Billionaire/CEO Romance,Secret Baby ; Royal Politics ; Class Divide ; Co-Parenting ; Family Manipulation,Cinderella Story ; Slow Burn ; Political Intrigue ; Protective Hero ; Fish-Out-of-Water,Contemporary romance between single mother and Crown Prince emphasizing extreme power/wealth disparity. Royal status functions like CEO archetype with class barriers and political complications central to relationship development.
Shadow Slave,a0850a82a36996374f0db995e253452e61e8b971,5,Fantasy,High Fantasy,Dark Fantasy,Survival Horror ; Cynical Protagonist ; Power Progression ; Cursed Abilities ; Nightmare Trials,Underdog Story ; Dark Secrets ; Psychological Thriller ; Strategic Planning ; Found Family,"Grim Nightmare Spell world with permanent exile to Forgotten Shore. Emphasis on brutal survival, moral ambiguity, Sunny's cynical worldview and pyrrhic victories matches dark fantasy focus over game mechanics."
My Dragon Princess,7e4d1b358e7b5db9dde2f0e4465010b0727010a3,6,Fantasy,High Fantasy,Immortal Cultivation (Xianxia),Arranged Marriage;Dragon Mate Bond;Cultivation Journey;Dual Identity;Coming-of-Age,Forced Proximity;Enemies-to-Lovers;Fish-Out-of-Water;Academy Life;Comedy,"Romance through shared dragon core creates primal connection between human Jacob and dragon princess Sophie. Dragon bonding and human-dragon duality drive both relationship and cultivation progression, matching Dragon & Monster Romance definition."
God Eye,931df1a505376384ed1b1a3a66840bb8f27d0d02,7,Fantasy,High Fantasy,Mythical Cultivation (Xuanhuan),Underdog Genius ; Mysterious Artifact ; Martial Arts Academy ; Merit vs Privilege ; Power Progression,Underestimated Protagonist ; Tournament Arc ; Rivalry ; Coming of Age ; Strategic Combat,Chinese-inspired martial cultivation with mysterious God Eye artifact enhancing Bobby's abilities. Blends martial training with supernatural enhancement in flexible power system matching Xuanhuan's eclectic approach beyond pure qi cultivation.
First Legendary Beast Master,6a4577fe1d55a456874f42106439427b5f9e2f49,8,Fantasy,Low Fantasy,Non System Progression,Beast Companionship ; Academy Training ; Coming of Age ; Class System ; Underdog Protagonist,Found Family ; Mentor-Student ; Strategic Growth ; Adventure ; Wholesome,Organic power growth through training and beast bonding without game notifications. Karl's development through combat experience and Hawk relationship represents earned progression without explicit stats matching non-system definition.
Super Gene,ef50c81de218958ada7d8c4a4f2c94c078a72445,9,Fantasy,Low Fantasy,LitRPG & System,Dual Identity ; Gene Enhancement ; Beast Hunting ; Class Warfare ; Secret Hero,Underdog Story ; Strategic Protagonist ; Revenge Plot ; Identity Crisis ; Action-Packed,"God's Sanctuary features explicit gene points, beast souls with rarities, and systematic geno enhancement. Visible progression mechanics and quest-like structure with Sen optimizing his build matches LitRPG conventions."
Saving Nora,33adb096b04ecd6b23ce9341160b199f2d489311,10,Drama,Family Drama,Estranged Family,Separated Twins ; Secret Identity ; Medical Genius ; Family Manipulation ; Class Divide,Slow Burn Romance ; Mistaken Identity ; Protective Father ; Found Family ; Mystery,Twins separated at birth orchestrating parents' reunion after discovering each other. Focus on family reconnection and uncovering hidden lineage matches estranged family definition with adoption/separation themes central.
